FromID,ToID,Relation_type,FromType,ToType
16114,16115,ORorBETA,Phenotype,SNP
16125,16126,ORorBETA,Phenotype,SNP
16144,16145,ORorBETA,Phenotype,SNP
16146,16147,ORorBETA,Phenotype,SNP
16186,16187,ORorBETA,Phenotype,SNP
16196,16197,ORorBETA,Phenotype,SNP
16210,16211,ORorBETA,Phenotype,SNP
16214,16215,ORorBETA,Phenotype,SNP
16219,16220,ORorBETA,Phenotype,SNP
16238,16239,ORorBETA,Phenotype,SNP
16114,16272,ORorBETA,Phenotype,SNP
16196,16273,ORorBETA,Phenotype,SNP
16281,16282,ORorBETA,Phenotype,SNP
16144,16283,ORorBETA,Phenotype,SNP
16297,16298,ORorBETA,Phenotype,SNP
16321,16322,ORorBETA,Phenotype,SNP
16328,16329,ORorBETA,Phenotype,SNP
16114,16332,ORorBETA,Phenotype,SNP
16196,16341,ORorBETA,Phenotype,SNP
16358,16359,ORorBETA,Phenotype,SNP
16363,16364,ORorBETA,Phenotype,SNP
16210,16365,ORorBETA,Phenotype,SNP
16372,16373,ORorBETA,Phenotype,SNP
16196,16386,ORorBETA,Phenotype,SNP
16114,16387,ORorBETA,Phenotype,SNP
16403,16404,ORorBETA,Phenotype,SNP
16427,16428,ORorBETA,Phenotype,SNP
16321,16436,ORorBETA,Phenotype,SNP
16196,16452,ORorBETA,Phenotype,SNP
16456,16457,ORorBETA,Phenotype,SNP
16459,16460,ORorBETA,Phenotype,SNP
16472,16473,ORorBETA,Phenotype,SNP
16480,16481,ORorBETA,Phenotype,SNP
16508,16509,ORorBETA,Phenotype,SNP
16523,16524,ORorBETA,Phenotype,SNP
16525,16526,ORorBETA,Phenotype,SNP
16374,16532,ORorBETA,Phenotype,SNP
16550,16551,ORorBETA,Phenotype,SNP
16212,16559,ORorBETA,Phenotype,SNP
16196,16572,ORorBETA,Phenotype,SNP
16491,16586,ORorBETA,Phenotype,SNP
16086,16599,ORorBETA,Phenotype,SNP
68,16602,ORorBETA,Phenotype,SNP
16603,16604,ORorBETA,Phenotype,SNP
16374,16613,ORorBETA,Phenotype,SNP
16459,16621,ORorBETA,Phenotype,SNP
16647,16648,ORorBETA,Phenotype,SNP
16196,16653,ORorBETA,Phenotype,SNP
16196,16663,ORorBETA,Phenotype,SNP
16523,16673,ORorBETA,Phenotype,SNP
16123,16675,ORorBETA,Phenotype,SNP
16600,16694,ORorBETA,Phenotype,SNP
16114,16709,ORorBETA,Phenotype,SNP
16710,16711,ORorBETA,Phenotype,SNP
16196,16712,ORorBETA,Phenotype,SNP
16194,16726,ORorBETA,Phenotype,SNP
16730,16731,ORorBETA,Phenotype,SNP
16739,16740,ORorBETA,Phenotype,SNP
16196,16741,ORorBETA,Phenotype,SNP
16742,16743,ORorBETA,Phenotype,SNP
16751,16752,ORorBETA,Phenotype,SNP
16772,16773,ORorBETA,Phenotype,SNP
16803,16804,ORorBETA,Phenotype,SNP
16491,16806,ORorBETA,Phenotype,SNP
16444,16807,ORorBETA,Phenotype,SNP
16810,16811,ORorBETA,Phenotype,SNP
16814,16815,ORorBETA,Phenotype,SNP
16818,16819,ORorBETA,Phenotype,SNP
16190,16823,ORorBETA,Phenotype,SNP
16827,16828,ORorBETA,Phenotype,SNP
16831,16832,ORorBETA,Phenotype,SNP
16685,16839,ORorBETA,Phenotype,SNP
16840,16841,ORorBETA,Phenotype,SNP
16848,16849,ORorBETA,Phenotype,SNP
16860,16861,ORorBETA,Phenotype,SNP
16144,16862,ORorBETA,Phenotype,SNP
16867,16868,ORorBETA,Phenotype,SNP
16196,16884,ORorBETA,Phenotype,SNP
16889,16890,ORorBETA,Phenotype,SNP
16067,16897,ORorBETA,Phenotype,SNP
16901,16902,ORorBETA,Phenotype,SNP
16912,16913,ORorBETA,Phenotype,SNP
16099,16914,ORorBETA,Phenotype,SNP
16925,16926,ORorBETA,Phenotype,SNP
16933,16934,ORorBETA,Phenotype,SNP
16965,16966,ORorBETA,Phenotype,SNP
16210,16995,ORorBETA,Phenotype,SNP
68,17004,ORorBETA,Phenotype,SNP
17008,17009,ORorBETA,Phenotype,SNP
16238,17019,ORorBETA,Phenotype,SNP
16190,17020,ORorBETA,Phenotype,SNP
17025,17026,ORorBETA,Phenotype,SNP
16196,17027,ORorBETA,Phenotype,SNP
16281,17051,ORorBETA,Phenotype,SNP
16633,17052,ORorBETA,Phenotype,SNP
16196,17067,ORorBETA,Phenotype,SNP
17068,17069,ORorBETA,Phenotype,SNP
17074,17075,ORorBETA,Phenotype,SNP
16196,17082,ORorBETA,Phenotype,SNP
17093,17094,ORorBETA,Phenotype,SNP
16171,17100,ORorBETA,Phenotype,SNP
16099,17103,ORorBETA,Phenotype,SNP
16114,17109,ORorBETA,Phenotype,SNP
17120,17121,ORorBETA,Phenotype,SNP
16196,17123,ORorBETA,Phenotype,SNP
17130,17131,ORorBETA,Phenotype,SNP
16444,17155,ORorBETA,Phenotype,SNP
17160,17161,ORorBETA,Phenotype,SNP
17170,17171,ORorBETA,Phenotype,SNP
16196,17185,ORorBETA,Phenotype,SNP
17196,17197,ORorBETA,Phenotype,SNP
17198,17099,ORorBETA,Phenotype,SNP
17202,17203,ORorBETA,Phenotype,SNP
16411,17204,ORorBETA,Phenotype,SNP
17205,17206,ORorBETA,Phenotype,SNP
68,17210,ORorBETA,Phenotype,SNP
16196,17235,ORorBETA,Phenotype,SNP
17243,17244,ORorBETA,Phenotype,SNP
17253,17254,ORorBETA,Phenotype,SNP
16123,17294,ORorBETA,Phenotype,SNP
17309,17310,ORorBETA,Phenotype,SNP
16603,17311,ORorBETA,Phenotype,SNP
16730,17313,ORorBETA,Phenotype,SNP
17314,17315,ORorBETA,Phenotype,SNP
17328,17329,ORorBETA,Phenotype,SNP
17342,17343,ORorBETA,Phenotype,SNP
16901,17349,ORorBETA,Phenotype,SNP
17202,17354,ORorBETA,Phenotype,SNP
16616,17361,ORorBETA,Phenotype,SNP
17364,17365,ORorBETA,Phenotype,SNP
17364,17366,ORorBETA,Phenotype,SNP
