FromID,ToID,Relation_type,FromType,ToType
16010,16011,ORorBETA,Phenotype,SNP
16021,16022,ORorBETA,Phenotype,SNP
16023,16024,ORorBETA,Phenotype,SNP
16023,16025,ORorBETA,Phenotype,SNP
16023,16026,ORorBETA,Phenotype,SNP
16027,16028,ORorBETA,Phenotype,SNP
16033,16034,ORorBETA,Phenotype,SNP
16033,16035,ORorBETA,Phenotype,SNP
16047,16048,ORorBETA,Phenotype,SNP
16049,16050,ORorBETA,Phenotype,SNP
16112,16113,ORorBETA,Phenotype,SNP
16112,16114,ORorBETA,Phenotype,SNP
16165,16166,ORorBETA,Phenotype,SNP
16165,16167,ORorBETA,Phenotype,SNP
16165,16168,ORorBETA,Phenotype,SNP
16165,16169,ORorBETA,Phenotype,SNP
16165,16170,ORorBETA,Phenotype,SNP
16131,16177,ORorBETA,Phenotype,SNP
16131,16178,ORorBETA,Phenotype,SNP
16191,16192,ORorBETA,Phenotype,SNP
16205,16206,ORorBETA,Phenotype,SNP
16205,16207,ORorBETA,Phenotype,SNP
16205,16208,ORorBETA,Phenotype,SNP
16305,16306,ORorBETA,Phenotype,SNP
16331,16332,ORorBETA,Phenotype,SNP
16341,16342,ORorBETA,Phenotype,SNP
16341,16343,ORorBETA,Phenotype,SNP
16341,16344,ORorBETA,Phenotype,SNP
16341,16345,ORorBETA,Phenotype,SNP
16341,16346,ORorBETA,Phenotype,SNP
16341,16347,ORorBETA,Phenotype,SNP
16341,16348,ORorBETA,Phenotype,SNP
16341,16349,ORorBETA,Phenotype,SNP
16341,16350,ORorBETA,Phenotype,SNP
16341,16351,ORorBETA,Phenotype,SNP
16341,16352,ORorBETA,Phenotype,SNP
16341,16353,ORorBETA,Phenotype,SNP
16341,16354,ORorBETA,Phenotype,SNP
16341,16355,ORorBETA,Phenotype,SNP
16392,16393,ORorBETA,Phenotype,SNP
16331,16446,ORorBETA,Phenotype,SNP
16466,16467,ORorBETA,Phenotype,SNP
16466,16468,ORorBETA,Phenotype,SNP
16469,16470,ORorBETA,Phenotype,SNP
16475,16476,ORorBETA,Phenotype,SNP
16496,16497,ORorBETA,Phenotype,SNP
16496,16498,ORorBETA,Phenotype,SNP
16496,16499,ORorBETA,Phenotype,SNP
